action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,ligand_efficiency
,,32781,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],,,CHEMBL1124610,J Med Chem,1989,CHEMBL77085,,CHEMBL77085,4.62,0,http://www.openphacts.org/units/Nanomolar,137197,=,1,1,=,,Ki,nM,,24000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,24.0,21.47,0.39,2.89,4.16,
,,33406,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL443268,,CHEMBL443268,5.28,0,http://www.openphacts.org/units/Nanomolar,119495,=,1,1,=,,IC50,nM,,5310.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,5.31,9.77,0.19,2.04,4.57,
,,34039,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL76979,,CHEMBL76979,,0,http://www.openphacts.org/units/Nanomolar,137172,=,1,1,=,,IC50,nM,,264000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,264.0,,,,,
,,34040,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL76979,,CHEMBL76979,,0,http://www.openphacts.org/units/Nanomolar,137172,=,1,1,=,,Ki,nM,,700000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,700.0,,,,,
,,34041,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL76589,,CHEMBL76589,6.90,0,http://www.openphacts.org/units/Nanomolar,137232,=,1,1,=,,IC50,nM,,125.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.125,29.22,0.52,5.34,5.87,
,Not Determined,34042,[],CHEMBL675637,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation,B,,,BAO_0000192,BAO_0000357,single protein format,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL76589,,CHEMBL76589,,0,http://www.openphacts.org/units/Nanomolar,137232,,1,0,,,Ki,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,,,,,,
,,34045,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL77724,,CHEMBL77724,,0,http://www.openphacts.org/units/Nanomolar,137189,>,1,1,>,,IC50,nM,,1250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1250.0,,,,,
,,34046,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL77724,,CHEMBL77724,,0,http://www.openphacts.org/units/Nanomolar,137189,>,1,1,>,,Ki,nM,,400000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,400.0,,,,,
,,34047,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL420385,,CHEMBL420385,,0,http://www.openphacts.org/units/Nanomolar,137185,>,1,1,>,,IC50,nM,,625000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,625.0,,,,,
,,34048,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL420385,,CHEMBL420385,,0,http://www.openphacts.org/units/Nanomolar,137185,>,1,1,>,,Ki,nM,,250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,250.0,,,,,
,,34049,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(O)c(O)c1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL76904,TYRPHOSTIN 23,CHEMBL76904,4.46,0,http://www.openphacts.org/units/Nanomolar,137194,=,1,1,=,,IC50,nM,,35000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,35.0,23.93,0.43,2.93,5.06,
,,34050,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(O)c(O)c1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL76904,TYRPHOSTIN 23,CHEMBL76904,4.96,0,http://www.openphacts.org/units/Nanomolar,137194,=,1,1,=,,Ki,nM,,11000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,11.0,26.63,0.48,3.43,5.63,
,,34051,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL1009,LEVODOPA,CHEMBL1009,,0,http://www.openphacts.org/units/Nanomolar,137202,=,1,1,=,,IC50,nM,,900000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,900.0,,,,,
,Not Determined,34052,[],CHEMBL676063,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation,B,,,BAO_0000192,BAO_0000357,single protein format,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,,,CHEMBL1124610,J Med Chem,1989,CHEMBL1009,LEVODOPA,CHEMBL1009,,0,http://www.openphacts.org/units/Nanomolar,137202,,1,0,,,Ki,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,,,,,,
,,34669,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,CHEMBL304271,,CHEMBL304271,9.35,0,http://www.openphacts.org/units/Nanomolar,119504,=,1,1,=,,IC50,nM,,0.45,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.00045,17.24,0.34,5.78,6.91,
,,35294,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,,,CHEMBL1124610,J Med Chem,1989,CHEMBL296407,,CHEMBL296407,5.00,0,http://www.openphacts.org/units/Nanomolar,137234,=,1,1,=,,IC50,nM,,10000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,10.0,24.49,0.46,4.51,4.66,
,,35295,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,,,CHEMBL1124610,J Med Chem,1989,CHEMBL296407,,CHEMBL296407,5.46,0,http://www.openphacts.org/units/Nanomolar,137234,=,1,1,=,,Ki,nM,,3500.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,3.5,26.72,0.50,4.97,5.08,
,,35296,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL309625,,CHEMBL309625,4.22,0,http://www.openphacts.org/units/Nanomolar,137231,=,1,1,=,,IC50,nM,,60000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,60.0,15.01,0.27,2.75,2.63,
,,35297,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NN=C(C#N)C#N)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL77825,,CHEMBL77825,,0,http://www.openphacts.org/units/Nanomolar,137225,=,1,1,=,,IC50,nM,,600000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,600.0,,,,,
,Not Determined,35298,[],CHEMBL675637,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation,B,,,BAO_0000192,BAO_0000357,single protein format,COc1ccc(NN=C(C#N)C#N)cc1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL77825,,CHEMBL77825,,0,http://www.openphacts.org/units/Nanomolar,137225,,1,0,,,Ki,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,,,,,,
,,35301,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL421877,,CHEMBL421877,,0,http://www.openphacts.org/units/Nanomolar,137187,=,1,1,=,,IC50,nM,,850000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,850.0,,,,,
,,35302,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL421877,,CHEMBL421877,,0,http://www.openphacts.org/units/Nanomolar,137187,=,1,1,=,,Ki,nM,,300000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,300.0,,,,,
,,36510,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1ccc(/C=C(\C#N)C(=O)O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL77278,,CHEMBL77278,,0,http://www.openphacts.org/units/Nanomolar,137238,=,1,1,=,,Ki,nM,,1350000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,1350.0,,,,,
,,36518,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL310798,TYRPHOSTIN 25,CHEMBL310798,5.52,0,http://www.openphacts.org/units/Nanomolar,137192,=,1,1,=,,IC50,nM,,3000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,3.0,27.32,0.50,4.29,5.10,
,,36519,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL310798,TYRPHOSTIN 25,CHEMBL310798,6.00,0,http://www.openphacts.org/units/Nanomolar,137192,=,1,1,=,,Ki,nM,,1000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,1.0,29.68,0.55,4.77,5.54,
,,37510,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,,,CHEMBL1145114,J Med Chem,2003,CHEMBL135592,,CHEMBL135592,5.10,0,http://www.openphacts.org/units/Nanomolar,262235,=,1,1,=,,IC50,nM,,8000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,8.0,17.43,0.32,1.29,7.75,
,,40025,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL309866,,CHEMBL309866,,0,http://www.openphacts.org/units/Nanomolar,137171,=,1,1,=,,IC50,nM,,1300000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1300.0,,,,,
,,40026,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C(=C/c1ccc[nH]1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL77381,,CHEMBL77381,,0,http://www.openphacts.org/units/Nanomolar,137219,=,1,1,=,,IC50,nM,,1360000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1360.0,,,,,
,Not Determined,40027,[],CHEMBL675640,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation,B,,,BAO_0000192,BAO_0000357,single protein format,N#C/C(=C/c1ccc[nH]1)C(=O)O,,,CHEMBL1124610,J Med Chem,1989,CHEMBL77381,,CHEMBL77381,,0,http://www.openphacts.org/units/Nanomolar,137219,,1,0,,,Ki,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,,,,,,
,,41220,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#C/C(=C\c1ccc(O)cc1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL76602,alpha-CYANO-4-HYDROXYCINNAMIC ACID,CHEMBL76602,,0,http://www.openphacts.org/units/Nanomolar,137236,=,1,1,=,,IC50,nM,,165000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,165.0,,,,,
,,41221,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,N#C/C(=C\c1ccc(O)cc1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL76602,alpha-CYANO-4-HYDROXYCINNAMIC ACID,CHEMBL76602,,0,http://www.openphacts.org/units/Nanomolar,137236,=,1,1,=,,Ki,nM,,308000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,308.0,,,,,
,,41222,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccncc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL77737,,CHEMBL77737,,0,http://www.openphacts.org/units/Nanomolar,137217,=,1,1,=,,IC50,nM,,250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,250.0,,,,,
,Not Determined,41223,[],CHEMBL675639,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation,B,,,BAO_0000192,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccncc1,,,CHEMBL1124610,J Med Chem,1989,CHEMBL77737,,CHEMBL77737,,0,http://www.openphacts.org/units/Nanomolar,137217,,1,0,,,Ki,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,Ki,uM,UO_0000065,,,,,,,
,,41224,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(F)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,CHEMBL76983,,CHEMBL76983,,0,http://www.openphacts.org/units/Nanomolar,137188,>,1,1,>,,IC50,nM,,1250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1250.0,,,,,
